Period	Day	Date	Plot	Band	Color Combo	Age	Sex	Seen	Location	Observer	Notes
2	2	16-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
2	3	17-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
2	4	18-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
2	5	19-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
3	1	1-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0		KCO	
3	2	2-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0		AJS	
3	3	3-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0		JPS	
3	4	4-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0		JPS	
3	5	5-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0		LFD	
4	1	15-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0		AJS	
4	2	16-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0*	L-10	LFD	Found in LII
4	3	17-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0		AJS	
4	4	18-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0		LFD	
4	5	19-Mar-17	LI	2550-39500	"O/O,A"	AHY	F	0		LFG	
5	1	1-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		AJS	
5	2	2-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		LFD	
5	3	3-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		JPS	
5	4	4-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		JPS	
5	5	5-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		KCO	
6	1	15-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		AJS	
6	2	16-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		KCO	
6	3	17-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		KCO	
6	4	18-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		KCO	
6	5	19-Apr-17	LI	2550-39500	"O/O,A"	AHY	F	0		JPS	
1	1	1-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	0*	A.75-7.5	AJS	
1	2	2-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	0		KCO	
1	3	3-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	0		JPS	
1	4	4-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	0		KCO	
1	5	5-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	0		JPS	
2	1	15-Feb-17	LI	2570-44339	"O,A/Y"	ASY	F	0		JPS	
